label,chance,baseline,pooled_balanced_acc,pooled_balanced_acc_std,within_task_balanced_acc,within_task_balanced_acc_std
binary-stress,0.5,majority_vote_per_task,0.7048863156109606,0.01252115764365712,0.5,0.0
binary-stress,0.5,random_forest_on_task_onehot,0.6894788064534515,0.02532617081321751,0.5,0.0
