modality,n_features,n,leaky_balanced_acc,leaky_balanced_acc_std,honest_balanced_acc,honest_balanced_acc_std,leak_inflation,honest_vs_chance
ecg,46,535,0.8956941736024552,0.06581807838027265,0.8170000000000002,0.14222524266917375,0.07869417360245501,0.31700000000000017
resp,62,535,0.8609576424253282,0.04826877321788998,0.8176796536796538,0.06350377843517445,0.043277988745674456,0.3176796536796538
eda,24,535,0.8067464204257936,0.053141166505151737,0.7581147186147186,0.11353554722988823,0.04863170181107501,0.2581147186147186
all_combined,132,535,0.9331582123493887,0.04609174166515087,0.8652619047619048,0.10811181200584745,0.06789630758748388,0.3652619047619048
