subject/task,ecg,eda,resp,video,audio,task
2hpu_Breathing,0.06577222408486705,0.04182042348838877,0.11892048077424988,0.09674891814938746,0.0,Breathing
2hpu_Counting1,0.1261381320655346,-0.05779047019314021,-0.07458189153112471,0.09824141208082438,-0.008105242624878883,Counting1
2hpu_Counting2,0.04025544470641762,0.08726327936165035,-0.009606704348698258,0.08769377475982765,0.10653675941284746,Counting2
2hpu_Counting3,0.05388561096333433,-0.09184444922721013,0.2383766365237534,0.08107146196562098,-0.08893549451022409,Counting3
2hpu_Math,-0.043776936348876916,0.045315961295273155,-0.11374355485895649,-0.1742294381838292,0.08074840472545475,Math
2hpu_Reading,-0.09830199499265291,-0.040574606333393604,-0.23321341816335917,-0.03177840188436676,0.09418812970397994,Reading
2hpu_Relax,-0.10667012189514935,0.0540749334031716,0.06958603925886564,0.18994777905754745,0.0,Relax
2hpu_Speaking,0.03534360707271844,-0.10834266128949821,0.29848925955593586,0.057698299908224726,0.0035050167061854154,Speaking
2hpu_Stroop,0.07544190361659275,0.021531045727897435,0.10104935363051482,0.05195634064511978,0.14489790482912213,Stroop
2hpu_Video1,-0.09263108880259097,0.05500987736741081,0.06895606254693121,0.17469820589758456,0.0,Video1
2hpu_Video2,-0.13492847001180053,0.04565771500347182,0.11302804146544077,0.17250036401674151,0.0,Video2
2z7d_Breathing,0.0013023925203015096,-0.00757737853564322,-0.12315568374469876,-0.1521030847216025,0.0,Breathing
2z7d_Counting1,0.18407599901547655,0.11747671623015776,0.002260754263261333,0.12420388576720143,-0.09488639747723937,Counting1
2z7d_Counting2,0.19360798777779564,-0.12412552442401648,0.1972026799339801,0.13671629544114694,-0.08048051502555609,Counting2
2z7d_Counting3,0.24188706395216286,0.05389017818379216,0.1291376617446076,-0.20417571067810059,-0.0780559216873371,Counting3
2z7d_Math,0.21494663506746292,-0.04236739591578953,0.18531424482353032,-0.11491152201779187,-0.03081821340310853,Math
2z7d_Reading,0.18472344352630898,0.10331155694439076,0.0007724947354290634,0.1689069806598127,-0.1073097859043628,Reading
