layer,head,balanced_acc,delta
,,0.6576576576576576,0.0
0.0,0.0,0.6715465465465466,0.01388888888888895
0.0,1.0,0.6234984984984985,-0.034159159159159125
0.0,2.0,0.7068318318318318,0.049174174174174246
0.0,3.0,0.6509009009009008,-0.006756756756756799
